              1.00000000                    1.00000000                   -0.00000000                    1.00000000        0  0  1  1  0  0  1  1  1  1  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  1  0  0  0  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1  0  1  1  0  1  1  0  0  0  0  0  0  1  1  0  0  0  1  1  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.03507657        1  0  1  1  0  0  1  1  0  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  1  0  0  0  1  0  1  0  1  0  0  0  1  1  0  1  0  1  0  1  0  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  1  1
              1.00000000                    1.00000000                   -0.00000000                    1.00063467        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  1  0  0  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  0  1  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.00000000        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  1  0  1  0  1  1  0  0  1  0  0  0  0  1  0  0  0  1  0  0  1  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.00196351        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  1  1  1  1  0  0  0  1  0  1  0  0  0  1  0  1  0  1  1  0  0  0  0  0  1  0  1  0  1  0  1  1  0  1  1  0  0  1  0  0  0  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.00000000        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  0  0  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  0  1  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  0  0  1  0  1  0  1  0  0  0  0  1  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  1  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.00000000        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  1  0  0  0  0  1  0  1  0  1  0  1  0  1  1  0  0  0  1  0  1  1  0  1  1  0  1  1  0  0  0  1  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  1  0  0  0  0  1  0  1  1  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.00000000        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  0  0  0  1  0  1  1  0  0  1  0  0  0  1  0  1  0  1  0  0  1  1  1  0  1  0  0  1  0  1  1  0  1  0  0  0  1  1  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.00000000        1  0  1  1  0  0  1  1  1  0  1  1  1  0  1  1  0  1  0  1  1  1  0  0  0  1  0  1  1  0  0  1  0  1  0  1  0  1  0  0  0  0  1  0  1  0  1  0  0  1  0  1  1  0  0  1  0  0  1  1  1  1  0  0  1  1  0  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  0  1  0  1  0  0  0  1  0  1  1  1  0  0  1
              1.00000000                    1.00000000                   -0.00000000                    1.06601773        1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  1  0  1  0  1  1  1  1  0  0  1  0  1  1  0  0  1  0  1  0  1  0  1  0  1  0  0  1  0  1  0  1  0  0  1  0  1  1  0  0  1  0  0  1  0  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  0  1  0  1  1  1  0  0  1
